0it [00:00, ?it/s]C:\Users\dqvin\anaconda3\envs\pygame_env\lib\site-packages\gym\utils\passive_env_checker.py:233: DeprecationWarning: `np.bool8` is a deprecated alias for `np.bool_`.  (Deprecated NumPy 1.24)
  if not isinstance(terminated, (bool, np.bool8)):



24893it [00:11, 1642.86it/s]













39494it [00:38, 551.37it/s]















55755it [01:08, 509.47it/s]














70400it [01:36, 542.34it/s]















85752it [02:06, 486.44it/s]















101306it [02:37, 498.97it/s]















116759it [03:07, 506.91it/s]















132010it [03:37, 517.92it/s]















147564it [04:07, 499.27it/s]














161906it [04:35, 509.59it/s]















176854it [05:05, 501.23it/s]















192105it [05:35, 497.30it/s]
















208265it [06:07, 531.28it/s]















223617it [06:38, 461.43it/s]















238868it [07:08, 515.64it/s]














253109it [07:36, 506.73it/s]















268360it [08:06, 532.72it/s]














285126it [08:34, 1200.91it/s]





297988it [08:44, 1344.47it/s]






313709it [08:56, 1315.90it/s]






329162it [09:08, 1288.02it/s]






344716it [09:21, 1280.76it/s]






360472it [09:33, 1365.94it/s]






375521it [09:44, 1331.25it/s]






391681it [09:57, 1301.86it/s]






407033it [10:09, 1168.04it/s]





419759it [10:18, 1271.02it/s]






435515it [10:31, 1114.36it/s]






451473it [10:43, 1345.95it/s]






466724it [10:55, 1358.51it/s]






482480it [11:07, 1263.54it/s]






497933it [11:19, 1308.44it/s]






513790it [11:31, 1350.95it/s]





526415it [11:41, 1364.41it/s]






542171it [11:53, 1360.46it/s]






558129it [12:05, 1316.81it/s]






574289it [12:17, 1354.83it/s]






589742it [12:29, 1320.24it/s]





603074it [12:39, 1319.71it/s]






619032it [12:51, 1246.66it/s]






634889it [13:04, 1328.55it/s]






649667it [13:15, 1318.33it/s]






665290it [13:27, 1316.55it/s]






681046it [13:40, 1286.48it/s]






697004it [13:52, 1225.44it/s]





709629it [14:01, 1298.73it/s]






725587it [14:14, 1302.64it/s]






740939it [14:26, 1146.01it/s]






756099it [14:38, 1181.78it/s]






771441it [14:50, 1323.51it/s]











787298it [15:12, 476.79it/s]
















802549it [15:44, 446.02it/s]











817598it [16:06, 1240.27it/s]















833556it [16:37, 506.94it/s]















848605it [17:07, 502.83it/s]










863654it [17:26, 1325.14it/s]




872946it [17:34, 1228.94it/s]
